m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,29000.00,-29400.00,-29400.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,29000.00,-29400.00,-58800.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,29000.00,-29400.00,-88200.00,0.00,0.00
4.00,1500.00,1500.00,0.00,0.00,0.00,600.00,300.00,0.00,0.00,0.00,0.15,0.00,505.00,-505.00,28000.00,2000.00,37000.00,-37505.00,-125705.00,0.00,1500.00
5.00,1620.00,1620.00,0.00,0.00,0.00,648.00,553.13,6.75,6.75,30.33,0.15,25.78,538.60,-512.83,28000.00,2000.00,37000.00,-37512.83,-163217.83,363.91,3120.00
6.00,1749.60,1749.60,0.00,0.00,0.00,699.84,776.56,19.89,13.48,89.36,0.15,75.95,569.40,-493.45,28000.00,2000.00,37000.00,-37493.45,-200711.28,1072.27,4869.60
7.00,1889.57,1889.57,0.00,0.00,0.00,755.83,982.67,36.67,17.78,164.77,0.15,140.05,598.79,-458.74,43000.00,2000.00,52000.00,-52458.74,-253170.02,1977.21,6759.17
8.00,2040.73,2040.73,0.00,0.00,0.00,816.29,1180.46,55.99,21.15,251.53,0.15,213.80,627.81,-414.00,43000.00,2000.00,52000.00,-52414.00,-305584.02,3018.39,8799.90
9.00,2203.99,2203.99,0.00,0.00,0.00,881.60,1376.60,76.78,23.59,344.93,0.15,293.19,657.22,-364.02,43000.00,2000.00,52000.00,-52364.02,-357948.04,4139.20,11003.89
10.00,2380.31,2380.31,0.00,0.00,0.00,952.12,1576.12,98.69,25.75,443.38,0.15,376.87,687.63,-310.76,43000.00,2000.00,52000.00,-52310.76,-410258.80,5320.50,13384.21
11.00,2570.74,2570.74,0.00,0.00,0.00,1028.29,1782.92,121.56,27.81,546.15,0.15,464.23,719.52,-255.29,43000.00,2000.00,52000.00,-52255.29,-462514.09,6553.81,15954.94
12.00,2776.40,2776.40,0.00,0.00,0.00,1110.56,2000.15,145.52,30.03,653.78,0.15,555.72,753.28,-197.57,43000.00,2000.00,52000.00,-52197.57,-514711.66,7845.39,18731.34
13.00,3148.51,2998.51,0.00,150.00,5.00,1281.90,2278.30,170.68,32.44,766.83,0.15,651.80,804.44,-152.64,55000.00,4125.00,68125.00,-68277.64,-582989.30,9201.94,21879.84
14.00,3418.39,3238.39,0.00,180.00,6.00,1394.35,2570.92,198.34,36.19,891.09,0.15,757.43,850.12,-92.70,55000.00,4150.00,68150.00,-68242.70,-651231.99,10693.11,25298.23
15.00,3713.46,3497.46,0.00,216.00,7.20,1517.78,2883.07,228.74,40.31,1027.66,0.15,873.51,899.27,-25.76,55000.00,4180.00,68180.00,-68205.76,-719437.75,12331.95,29011.69
16.00,4036.46,3777.26,0.00,259.20,8.64,1653.46,3219.35,261.72,44.42,1175.84,0.15,999.47,952.54,46.92,55000.00,4216.00,68216.00,-68169.08,-787606.83,14110.14,33048.14
17.00,4390.48,4079.44,0.00,311.04,10.37,1802.85,3584.24,297.39,48.76,1336.12,0.15,1135.70,1010.61,125.10,55000.00,4259.20,68259.20,-68134.10,-855740.93,16033.46,37438.62
18.00,4779.04,4405.79,0.00,373.25,12.44,1967.60,3982.25,335.89,53.36,1509.05,0.15,1282.69,1074.16,208.53,55000.00,4311.04,68311.04,-68102.51,-923843.44,18108.59,42217.66
19.00,5206.15,4758.25,0.00,447.90,14.93,2149.65,4418.16,377.46,58.37,1695.82,0.15,1441.45,1143.96,297.50,70000.00,4373.25,83373.25,-83075.75,-1006919.19,20349.89,47423.81
20.00,5676.39,5138.91,0.00,537.48,17.92,2351.18,4897.17,422.45,63.86,1897.95,0.15,1613.26,1220.83,392.43,70000.00,4447.90,83447.90,-83055.47,-1089974.66,22775.45,53100.20
21.00,6195.00,5550.03,0.00,644.97,21.50,2574.75,5425.04,471.29,69.96,2117.39,0.15,1799.78,1305.72,494.06,70000.00,4537.48,83537.48,-83043.42,-1173018.08,25408.69,59295.20
22.00,6768.00,5994.03,0.00,773.97,25.80,2823.29,6008.24,524.48,76.75,2356.35,0.15,2002.90,1399.70,603.20,70000.00,4644.97,83644.97,-83041.77,-1256059.85,28276.23,66063.20
23.00,7402.31,6473.55,0.00,928.76,30.96,3100.24,6654.16,582.58,84.32,2617.37,0.15,2224.77,1503.99,720.78,70000.00,4773.97,83773.97,-83053.19,-1339113.04,31408.49,73465.51
24.00,8105.95,6991.44,0.00,1114.51,37.15,3409.56,7371.26,646.23,92.78,2903.36,0.15,2467.85,1619.99,847.87,70000.00,4928.76,83928.76,-83080.89,-1422193.93,34840.27,81571.46
25.00,8888.17,7550.75,0.00,1337.42,44.58,3755.88,8169.30,716.18,102.26,3217.63,0.15,2734.99,1749.33,985.66,78000.00,5114.51,94114.51,-93128.85,-1515322.78,38611.60,90459.62
26.00,9759.71,8154.81,0.00,1604.90,53.50,4144.62,9059.59,793.29,112.91,3564.05,0.15,3029.44,1893.91,1135.53,78000.00,5337.42,94337.42,-93201.88,-1608524.67,42768.57,100219.33
27.00,10733.07,8807.20,0.00,1925.88,64.20,4582.11,10055.26,878.54,124.91,3947.04,0.15,3354.98,2055.93,1299.05,78000.00,5604.90,94604.90,-93305.85,-1701830.51,47364.47,110952.41
28.00,11822.82,9511.77,0.00,2311.05,77.04,5075.79,11171.64,973.07,138.46,4371.75,0.15,3715.99,2237.97,1478.02,78000.00,5925.88,94925.88,-93447.86,-1795278.37,52461.05,122775.23
29.00,13045.98,10272.71,0.00,2773.26,92.44,5634.38,12426.63,1078.22,153.80,4844.17,0.15,4117.55,2443.06,1674.49,78000.00,6311.05,95311.05,-93636.56,-1888914.94,58130.05,135821.21
30.00,14422.45,11094.53,0.00,3327.92,110.93,6268.17,13841.22,1195.54,171.23,5371.25,0.15,4565.57,2674.71,1890.85,78000.00,6773.26,95773.26,-93882.41,-1982797.35,64455.06,150243.65
31.00,15975.59,11982.09,0.00,3993.50,133.12,6989.26,15440.03,1326.83,191.07,5961.14,0.15,5066.97,2937.12,2129.85,93000.00,7327.92,111327.92,-109198.07,-2091995.41,71533.63,166219.24
32.00,17732.86,12940.66,0.00,4792.20,159.74,7811.97,17252.03,1474.23,213.73,6623.33,0.15,5629.83,3235.16,2394.67,93000.00,7993.50,111993.50,-109598.83,-2201594.24,79479.95,183952.10
