m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,150.00,-150.00,0.00,0.00,650.00,-800.00,-800.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,150.00,-150.00,0.00,0.00,650.00,-800.00,-1600.00,0.00,0.00
3.00,400.00,400.00,0.00,0.00,0.00,160.00,80.00,0.00,0.00,0.00,0.15,0.00,178.00,-178.00,0.00,0.00,650.00,-828.00,-2428.00,0.00,400.00
4.00,424.00,424.00,0.00,0.00,0.00,169.60,145.90,1.80,1.80,8.09,0.15,6.87,186.40,-179.53,0.00,0.00,650.00,-829.53,-3257.53,97.04,824.00
5.00,449.44,449.44,0.00,0.00,0.00,179.78,202.44,5.27,3.56,23.67,0.15,20.12,193.84,-173.72,0.00,0.00,650.00,-823.72,-4081.25,284.00,1273.44
6.00,476.41,476.41,0.00,0.00,0.00,190.56,252.98,9.64,4.63,43.29,0.15,36.80,200.70,-163.90,0.00,0.00,650.00,-813.90,-4895.15,519.48,1749.85
7.00,504.99,504.99,0.00,0.00,0.00,202.00,299.94,14.58,5.43,65.51,0.15,55.68,207.23,-151.55,0.00,0.00,650.00,-801.55,-5696.70,786.12,2254.84
8.00,535.29,535.29,0.00,0.00,0.00,214.12,345.06,19.81,5.95,88.98,0.15,75.63,213.65,-138.02,0.00,0.00,650.00,-788.02,-6484.72,1067.77,2790.13
9.00,617.41,567.41,0.00,50.00,2.00,254.46,405.55,25.20,6.38,113.21,0.15,96.23,225.15,-128.92,0.00,10.00,660.00,-788.92,-7273.63,1358.55,3407.54
10.00,657.45,601.45,0.00,56.00,2.24,271.38,464.82,31.09,7.15,139.69,0.15,118.74,233.70,-114.96,0.00,11.20,661.20,-776.16,-8049.79,1676.29,4064.99
11.00,700.26,637.54,0.00,62.72,2.51,289.51,524.41,37.51,7.97,168.51,0.15,143.23,242.43,-99.20,0.00,12.54,662.54,-761.74,-8811.53,2022.07,4765.25
12.00,746.04,675.79,0.00,70.25,2.81,308.95,585.52,44.32,8.69,199.11,0.15,169.25,251.48,-82.23,0.00,14.05,664.05,-746.28,-9557.81,2389.37,5511.28
13.00,795.02,716.34,0.00,78.68,3.15,329.81,649.08,51.50,9.39,231.37,0.15,196.66,260.98,-64.31,0.00,15.74,865.74,-930.05,-10487.86,2776.40,6306.30
14.00,847.44,759.32,0.00,88.12,3.52,352.19,715.85,59.01,10.09,265.11,0.15,225.35,271.01,-45.66,0.00,17.62,867.62,-913.28,-11401.15,3181.36,7153.74
15.00,903.57,804.88,0.00,98.69,3.95,376.23,786.51,66.86,10.80,300.39,0.15,255.33,281.66,-26.33,0.00,19.74,869.74,-896.07,-12297.22,3604.67,8057.31
16.00,963.71,853.17,0.00,110.53,4.42,402.06,861.64,75.07,11.55,337.28,0.15,286.69,293.03,-6.34,0.00,22.11,872.11,-878.44,-13175.66,4047.40,9021.01
17.00,1028.16,904.36,0.00,123.80,4.95,429.83,941.83,83.68,12.37,375.98,0.15,319.58,305.18,14.40,0.00,24.76,874.76,-860.36,-14036.02,4511.70,10049.17
18.00,1097.28,958.62,0.00,138.65,5.55,459.71,1027.63,92.74,13.24,416.66,0.15,354.16,318.20,35.95,0.00,27.73,877.73,-841.78,-14877.80,4999.87,11146.45
19.00,1171.43,1016.14,0.00,155.29,6.21,491.87,1119.61,102.28,14.18,459.53,0.15,390.60,332.18,58.42,0.00,31.06,881.06,-822.64,-15700.44,5514.40,12317.88
20.00,1251.04,1077.11,0.00,173.93,6.96,526.50,1218.34,112.37,15.20,504.83,0.15,429.11,347.20,81.91,0.00,34.79,884.79,-802.88,-16503.32,6057.96,13568.92
21.00,1336.53,1141.74,0.00,194.80,7.79,563.83,1324.47,123.04,16.29,552.79,0.15,469.87,363.35,106.52,0.00,38.96,888.96,-782.44,-17285.76,6633.46,14905.45
22.00,1428.41,1210.24,0.00,218.17,8.73,604.09,1438.64,134.37,17.48,603.67,0.15,513.12,380.74,132.38,0.00,43.63,893.63,-761.26,-18047.01,7244.04,16333.87
23.00,1527.21,1282.85,0.00,244.36,9.77,647.54,1561.58,146.40,18.76,657.76,0.15,559.10,399.48,159.62,0.00,48.87,898.87,-739.25,-18786.27,7893.11,17861.08
24.00,1633.50,1359.83,0.00,273.68,10.95,694.45,1694.08,159.23,20.14,715.37,0.15,608.06,419.68,188.38,0.00,54.74,904.74,-716.36,-19502.62,8584.40,19494.58
25.00,1747.93,1441.41,0.00,306.52,12.26,745.15,1836.97,172.91,21.64,776.83,0.15,660.30,441.48,218.82,0.00,61.30,911.30,-692.48,-20195.11,9321.95,21242.51
26.00,1871.20,1527.90,0.00,343.30,13.73,799.98,1991.19,187.53,23.27,842.51,0.15,716.14,465.03,251.11,0.00,68.66,918.66,-667.55,-20862.66,10110.17,23113.72
27.00,2004.07,1619.57,0.00,384.50,15.38,859.30,2157.75,203.18,25.03,912.82,0.15,775.90,490.47,285.43,0.00,76.90,926.90,-641.47,-21504.13,10953.89,25117.79
28.00,2147.39,1716.75,0.00,430.64,17.23,923.55,2337.78,219.95,26.94,988.20,0.15,839.97,517.98,321.99,0.00,86.13,936.13,-614.14,-22118.27,11858.40,27265.18
29.00,2302.07,1819.75,0.00,482.31,19.29,993.17,2532.50,237.97,29.01,1069.12,0.15,908.75,547.76,361.00,0.00,96.46,946.46,-585.47,-22703.73,12829.46,29567.24
30.00,2469.13,1928.94,0.00,540.19,21.61,1068.68,2743.26,257.33,31.26,1156.12,0.15,982.70,580.00,402.70,0.00,108.04,958.04,-555.34,-23259.07,13873.42,32036.37
31.00,2649.69,2044.67,0.00,605.02,24.20,1150.63,2971.56,278.17,33.71,1249.77,0.15,1062.30,614.95,447.36,0.00,121.00,971.00,-523.65,-23782.71,14997.24,34686.06
32.00,2844.97,2167.36,0.00,677.62,27.10,1239.63,3219.02,300.64,36.38,1350.71,0.15,1148.11,652.85,495.26,0.00,135.52,985.52,-490.27,-24272.98,16208.55,37531.04
33.00,3056.33,2297.40,0.00,758.93,30.36,1336.37,3487.47,324.89,39.28,1459.65,0.15,1240.70,693.99,546.71,0.00,151.79,1001.79,-455.07,-24728.05,17515.75,40587.36
34.00,3285.24,2435.24,0.00,850.00,34.00,1441.60,3778.88,351.09,42.44,1577.34,0.15,1340.74,738.67,602.07,0.00,170.00,1020.00,-417.93,-25145.98,18928.10,43872.61
35.00,3533.36,2581.35,0.00,952.00,38.08,1556.14,4095.48,379.42,45.89,1704.65,0.15,1448.95,787.24,661.71,0.00,190.40,1040.40,-378.69,-25524.67,20455.78,47405.97
36.00,3802.48,2736.24,0.00,1066.24,42.65,1680.93,4439.68,410.11,49.65,1842.50,0.15,1566.13,840.08,726.05,0.00,213.25,1063.25,-337.20,-25861.87,22110.03,51208.45
37.00,4094.60,2900.41,0.00,1194.19,47.77,1816.97,4814.19,443.37,53.77,1991.94,0.15,1693.14,897.60,795.55,0.00,238.84,1088.84,-293.29,-26155.16,23903.22,55303.05
