m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,28000.00,-28400.00,-28400.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,28000.00,-28400.00,-56800.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,28000.00,-28400.00,-85200.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,28000.00,-28400.00,-113600.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,28000.00,-28400.00,-142000.00,0.00,0.00
6.00,800.00,800.00,0.00,0.00,0.00,280.00,117.60,0.00,0.00,0.00,0.15,0.00,463.17,-463.17,22000.00,1500.00,29500.00,-29963.17,-171963.17,0.00,800.00
7.00,840.00,840.00,0.00,0.00,0.00,294.00,207.85,1.75,1.75,8.15,0.15,6.93,481.51,-474.58,22000.00,1500.00,29500.00,-29974.58,-201937.75,97.83,1640.00
8.00,882.00,882.00,0.00,0.00,0.00,308.70,280.33,4.98,3.34,23.20,0.15,19.72,496.76,-477.04,22000.00,1500.00,29500.00,-29977.04,-231914.80,278.41,2522.00
9.00,926.10,926.10,0.00,0.00,0.00,324.14,341.51,8.91,4.25,41.49,0.15,35.27,510.09,-474.82,37000.00,1500.00,44500.00,-44974.82,-276889.62,497.92,3448.10
10.00,972.41,972.41,0.00,0.00,0.00,340.34,395.74,13.21,4.88,61.55,0.15,52.32,522.28,-469.97,37000.00,1500.00,44500.00,-44969.97,-321859.59,738.59,4420.51
11.00,1021.03,1021.03,0.00,0.00,0.00,357.36,445.97,17.64,5.28,82.16,0.15,69.84,533.88,-464.04,37000.00,1500.00,44500.00,-44964.04,-366823.63,985.91,5441.53
12.00,1072.08,1072.08,0.00,0.00,0.00,375.23,494.21,22.09,5.60,102.91,0.15,87.48,545.24,-457.76,37000.00,1500.00,44500.00,-44957.76,-411781.39,1234.97,6513.61
13.00,1125.68,1125.68,0.00,0.00,0.00,393.99,541.85,26.54,5.88,123.62,0.15,105.08,556.63,-451.55,37000.00,1500.00,45500.00,-45951.55,-457732.94,1483.49,7639.29
14.00,1181.96,1181.96,0.00,0.00,0.00,413.69,589.85,30.99,6.18,144.36,0.15,122.70,568.23,-445.52,37000.00,1500.00,45500.00,-45945.52,-503678.46,1732.30,8821.25
15.00,1241.06,1241.06,0.00,0.00,0.00,434.37,638.90,35.46,6.48,165.18,0.15,140.41,580.16,-439.75,37000.00,1500.00,45500.00,-45939.75,-549618.21,1982.20,10062.31
16.00,1303.12,1303.12,0.00,0.00,0.00,456.09,689.49,39.96,6.81,186.17,0.15,158.24,592.52,-434.28,37000.00,1500.00,45500.00,-45934.28,-595552.49,2233.98,11365.43
17.00,1368.27,1368.27,0.00,0.00,0.00,478.90,742.00,44.51,7.15,207.37,0.15,176.26,605.39,-429.13,37000.00,1500.00,45500.00,-45929.13,-641481.63,2488.43,12733.70
18.00,1436.69,1436.69,0.00,0.00,0.00,502.84,796.73,49.13,7.51,228.86,0.15,194.53,618.84,-424.31,37000.00,1500.00,45500.00,-45924.31,-687405.93,2746.32,14170.39
19.00,1508.52,1508.52,0.00,0.00,0.00,527.98,853.92,53.82,7.88,250.70,0.15,213.10,632.90,-419.81,37000.00,1500.00,45500.00,-45919.81,-733325.74,3008.43,15678.91
20.00,1673.95,1583.95,0.00,90.00,5.00,599.38,935.39,58.59,8.28,272.96,0.15,232.02,658.28,-426.26,37000.00,1625.00,45625.00,-46051.26,-779377.00,3275.53,17352.85
