m,downloads,organicDl,paidDl,vetDl,clinics,activations,mau,payingStock,convAdds,grossRev,storeFee,netRev,cogs,grossProfit,payroll,marketing,opex,netBurn,cumBurn,arrRunRate,cumDownloads
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,29000.00,-29400.00,-29400.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,400.00,-400.00,22000.00,0.00,29000.00,-29400.00,-58800.00,0.00,0.00
3.00,2500.00,2500.00,0.00,0.00,0.00,1125.00,652.50,0.00,0.00,0.00,0.15,0.00,558.17,-558.17,28000.00,3000.00,38000.00,-38558.18,-97358.18,0.00,2500.00
4.00,2750.00,2750.00,0.00,0.00,0.00,1237.50,1247.79,18.28,18.28,80.62,0.15,68.53,611.10,-542.57,28000.00,3000.00,38000.00,-38542.57,-135900.74,967.42,5250.00
5.00,8479.55,3025.00,5454.55,0.00,0.00,3106.70,2824.24,55.48,37.93,244.66,0.15,207.96,908.37,-700.41,43000.00,15000.00,65000.00,-65700.41,-201601.15,2935.90,13729.55
6.00,8782.05,3327.50,5454.55,0.00,0.00,3242.83,4199.89,133.19,79.93,587.37,0.15,499.26,1018.28,-519.01,43000.00,15000.00,65000.00,-65519.01,-267120.17,7048.39,22511.59
7.00,9114.80,3660.25,5454.55,0.00,0.00,3392.57,5440.33,246.86,118.99,1088.62,0.15,925.32,1120.08,-194.76,43000.00,15000.00,65000.00,-65194.76,-332314.92,13063.40,31626.39
8.00,9480.82,4026.28,5454.55,0.00,0.00,3557.28,6595.48,380.08,143.10,1676.11,0.15,1424.70,1217.41,207.28,43000.00,15000.00,65000.00,-64792.72,-397107.64,20113.35,41107.21
9.00,10203.45,4428.90,5454.55,320.00,8.00,3930.46,7826.72,525.82,160.94,2318.80,0.15,1970.98,1340.92,630.07,43000.00,15200.00,65200.00,-64569.93,-461677.57,27825.66,51310.65
10.00,10726.34,4871.79,5454.55,400.00,10.00,4177.76,9050.65,681.55,176.76,3005.54,0.15,2554.71,1451.32,1103.39,55000.00,15250.00,77250.00,-76146.61,-537824.18,36066.53,62036.99
11.00,11313.52,5358.97,5454.55,500.00,12.50,4456.99,10299.26,846.17,191.88,3731.51,0.15,3171.78,1566.65,1605.13,55000.00,15312.50,77312.50,-75707.37,-613531.55,44778.07,73350.51
12.00,11974.41,5894.87,5454.55,625.00,15.63,4773.15,11600.84,1018.24,205.92,4490.31,0.15,3816.77,1689.37,2127.39,55000.00,15390.63,77390.63,-75263.23,-688794.78,53883.75,85324.93
13.00,12720.15,6484.36,5454.55,781.25,19.53,5132.16,12981.73,1198.75,221.24,5286.34,0.15,4493.39,1821.94,2671.45,55000.00,18488.28,83488.28,-80816.83,-769611.61,63436.07,98045.08
14.00,13563.90,7132.79,5454.55,976.56,24.41,5541.15,14467.86,1388.77,237.97,6124.30,0.15,5205.66,1966.87,3238.79,70000.00,18610.35,98610.35,-95371.56,-864983.17,73491.61,111608.98
15.00,14521.32,7846.07,5454.55,1220.70,30.52,6008.61,16086.11,1589.99,256.77,7011.65,0.15,5959.91,2126.89,3833.02,70000.00,18762.94,98762.94,-94929.92,-959913.09,84139.85,126130.30
16.00,15611.10,8630.68,5454.55,1525.88,38.15,6544.79,17865.57,1804.51,278.12,7957.65,0.15,6764.00,2305.07,4458.93,70000.00,18953.67,98953.67,-94494.74,-1054407.84,95491.76,141741.40
17.00,16855.64,9493.75,5454.55,1907.35,47.68,7162.05,19838.84,2035.00,302.67,8974.10,0.15,7627.98,2504.92,5123.06,70000.00,19192.09,99192.09,-94069.03,-1148476.87,107689.17,158597.04
18.00,18281.85,10443.12,5454.55,2384.19,59.60,7875.37,22043.40,2284.64,331.04,10074.96,0.15,8563.71,2730.58,5833.14,78000.00,19490.12,107490.12,-101656.98,-1250133.85,120899.48,176878.89
19.00,25831.30,11487.43,11363.64,2980.23,74.51,10593.85,25619.88,2557.17,363.92,11276.78,0.15,9585.26,3252.78,6332.49,78000.00,32862.65,120862.65,-114530.16,-1364664.01,135321.34,202710.19
20.00,27725.10,12636.18,11363.64,3725.29,93.13,11557.82,29317.82,2887.79,432.91,12734.81,0.15,10824.59,3608.03,7216.56,78000.00,33328.31,121328.31,-114111.75,-1478775.76,152817.69,230435.29
21.00,29920.04,13899.79,11363.64,4656.61,116.42,12685.24,33253.00,3279.88,507.60,14463.86,0.15,12294.28,3996.23,8298.04,78000.00,33910.38,121910.38,-113612.34,-1592388.10,173566.26,260355.34
22.00,32474.18,15289.77,11363.64,5820.77,145.52,14009.22,37540.33,3725.32,576.64,16428.21,0.15,13963.97,4428.75,9535.23,93000.00,34637.98,137637.98,-128102.75,-1720490.85,197138.46,292829.51
23.00,35458.34,16818.75,11363.64,7275.96,181.90,15570.38,42300.53,4225.31,649.00,18633.10,0.15,15838.13,4918.07,10920.06,93000.00,35547.47,138547.47,-127627.42,-1848118.26,223597.16,328287.85
24.00,38959.21,18500.62,11363.64,9094.95,227.37,17418.61,47666.69,4782.72,726.42,21091.22,0.15,17927.53,5478.53,12449.00,93000.00,36684.34,139684.34,-127235.34,-1975353.60,253094.59,367247.06
25.00,43083.01,20350.69,11363.64,11368.68,284.22,19615.38,53791.08,5406.36,814.95,23841.39,0.15,20265.18,6126.91,14138.27,93000.00,38105.43,144105.43,-129967.16,-2105320.76,286096.72,410330.07
26.00,47960.25,22385.76,11363.64,14210.85,355.27,22236.47,60852.51,6108.69,918.58,26938.56,0.15,22897.77,6883.32,16014.45,93000.00,39881.78,145881.78,-129867.33,-2235188.09,323262.70,458290.32
27.00,53751.54,24624.33,11363.64,17763.57,444.09,25375.45,69064.88,6906.95,1042.61,30458.78,0.15,25889.96,7772.09,18117.88,93000.00,42102.23,148102.23,-129984.35,-2365172.44,365505.38,512041.85
28.00,60654.86,27086.76,11363.64,22204.46,555.11,29148.08,78687.17,7822.25,1191.58,34495.15,0.15,29320.87,8822.91,20497.96,93000.00,44877.79,150877.79,-130379.82,-2495552.27,413941.76,572696.72
29.00,68914.65,29795.44,11363.64,27755.58,693.89,33697.66,90035.52,8880.49,1371.13,39161.84,0.15,33287.57,10072.25,23215.31,93000.00,48347.23,154347.23,-131131.92,-2626684.19,469942.10,641611.37
30.00,78833.09,32774.99,11363.64,34694.47,867.36,39201.79,103498.01,10113.50,1588.23,44599.26,0.15,37909.37,11565.04,26344.33,107000.00,52684.04,172684.04,-146339.72,-2773023.91,535191.06,720444.46
31.00,97602.39,36052.48,18181.82,43368.09,1084.20,48062.65,120818.24,11560.49,1851.54,50980.33,0.15,43333.28,13663.54,29669.74,107000.00,73105.05,193105.05,-163435.32,-2936459.22,611763.94,818046.85
